ObjectID;Product (EN);Studio;Vitrine;Position;Product (NL);Brand;Model/Type;Colour;Colour 2;Designer;Year;Era;Country;Technische Beschrijving;Location (studio-vitrine-product);Origin;Photo;Conditie;Opslag (asbest etc.);Value;Drawing Topics
DDP-0097;Vacuum cleaner;1;8;4;Stofzuiger;Philips ;HZ 4820;Grey;;Unknown;1974;Late Modern;Netherlands;"In the 1970s, these ""tank"" models were known for their durability and were often considered appliances that could last a lifetime. The design, with its gray housing, blue head, and red stripe with the logo, is highly characteristic of Philips' visual identity in those days.";1-8-4;;;;;;
DDP-0098;Iron;1;8;4;Strijkijzer;Unknown;;Silver;;Unknown;1920;Pre-1950;Netherlands;"This specific model dates from the transition from the classic iron to more modern appliances. Between 1910 and 1930, electric irons were often not yet plugged into an electrical outlet, but instead connected directly to a light bulb socket via a special plug (a ""crook"").";1-8-4;;;;;;
DDP-0099;Iron;1;8;4;Strijkijzer;Underwood;;Petina;;Unknown;1920;Pre-1950;Netherlands;;1-8-4;;;;;;
DDP-0100;Travel iron with packaging;1;8;4;Reisstrijkijzer met verpakking;Cherry;B-Type;Turqoise;;Unknown;1965;Mid-Century Modern;Japan;This is the exact same model travel iron with foldable handle, as sold by more well-known brands like Juliette and Valiant. In the 1960s and 1970s, factories in Japan and Taiwan mass-produced these irons, after which they were sold by various importers under their own names.;1-8-4;;;;;;
DDP-0101;Iron;1;8;4;Strijkijzer;Ruton;;Petina;;Unknown;1945;Pre-1950;Netherlands;This is a vintage Ruton electric iron with a metal frame and electrical connection, typical of mid-20th-century appliances. It has a classic triangular metal soleplate with a dark-colored, ergonomically shaped Bakelite handle.;1-8-4;;;;;;
DDP-0102;Iron;1;8;4;Strijkijzer;Morphy-Richards;CA75;Silver;;Donal Morphy & Charles Richards;1954;Mid-Century Modern;England;"This iron is considered a classic example of post-war British modernism. It is included in the collection of the Museum of Design in Plastics (MoDiP) for its innovative use of compression-molded Bakelite for the handle. It was one of the first affordable irons with a reliable thermostatic control (the ""Auto-Control""), a major advance for households at the time. The CA75 is known for its robustness; many examples are still in working order after 70 years.";1-8-4;;;;;;
DDP-0103;Iron;1;8;4;Strijkijzer;Morphy-Richards;CA75;Silver;;Donal Morphy & Charles Richards;1954;Mid-Century Modern;England;"This iron is considered a classic example of post-war British modernism. It is included in the collection of the Museum of Design in Plastics (MoDiP) for its innovative use of compression-molded Bakelite for the handle. It was one of the first affordable irons with a reliable thermostatic control (the ""Auto-Control""), a major advance for households at the time. The CA75 is known for its robustness; many examples are still in working order after 70 years.";1-8-4;;;;;;
DDP-0104;Travel iron;1;8;5;Reisstrijkijzer;Unknown;;Green;;Unknown;1940;Pre-1950;England;"This item is a vintage electric travel iron, also known as a ""Piccolo"" or produced by brands like Arc or Chesterton. These models were primarily produced between 1930 and 1950. They were popular at a time when electric ironing was becoming modern, but appliances still had to be compact for travelers.";1-8-5;;;;;;
DDP-0105;Travel iron;1;8;5;Reisstrijkijzer;Unknown;;Silver;;Unknown;1925;Pre-1950;Germany;This is an early electric travel iron from the 1920s–1935 period. It's a compact traveler's design with a rattan-wrapped handle for heat insulation. The iron has a 150-watt output and is dual-voltage (110/220V), which was essential for international travel at the time.;1-8-5;;;;;;
DDP-0106;Vacuum cleaner;1;8;6;Stofzuiger;Holland Electro (HE);HE 3000;Yellow;;Unknown;1977;Late Modern;Netherlands;This item is a vintage Holland Electro 3000 vacuum cleaner. These vacuum cleaners were known for their robust construction and sold for around 439 guilders at the time. This particular example is a collector's item due to its nostalgic value and iconic retro design.;1-8-6;;;;;;
DDP-0107;Handheld vacuum cleaner;1;8;6;Handstofzuiger;Rio;Sauger;Orange;;Unknown;1972;Late Modern;West Germany;The item in the photo is a vintage handheld vacuum (also called a dustbuster or table vacuum) from the 1970s. This particular model was popular as an accessory for cars or for small household use on tables and desks. The futuristic, rounded design and bright orange color were typical of the optimistic design style of the 1970s.;1-8-6;;;;;;
DDP-0108;Toy iron;1;8;7;Speelgoedstrijkijzer;Unknown;;Red;;Unknown;1960;Mid-Century Modern;Germany;This item is a vintage toy iron, also called a miniature iron, that probably dates from the 1950s or 1960s. Such irons were also produced as decorative collectibles.;1-8-7;;;;;;
DDP-0109;Steam iron;1;8;7;Stoomstrijkijzer;Moulinex;VarioJet Plus 3200;White;;Unknown;1995;Postmodern;France;The Moulinex Variojet Plus 3200 is an iconic steam iron that symbolizes European home appliances of the 1990s. Its design is typical of the brand's functional, ergonomic style from that era, with its signature orange accent buttons.;1-8-7;;;;;;
DDP-0110;Vacuum cleaner;1;9;1;Stofzuiger;F.A.M. Skyline;Electronic FC 4200;Crème;Brown;Unknown;1985;Late Modern;Netherlands;The Skyline series was known for its sleek, functional design. Its design reflects the transitional period in which household appliances became more compact and were equipped with more modern electronic functions, such as the suction power slider seen on this model.;1-9-1;Unknown;Picture;Goed;;;
DDP-0111;Handheld vacuum cleaner;1;9;2;Handstofzuiger;Siemens;Rapid VAt93;Red;Grey;Unknown;1960;Mid-Century Modern;Germany;The Siemens Rapid is an iconic series of handheld vacuum cleaners with a history dating back to the first lightweight models from 1935. In the 1970s, the Rapid line was very popular and appeared in various striking colors that reflected the spirit of the times.;1-9-2;Unknown;Picture;Redelijk;;;
DDP-0112;Vacuum cleaner;1;9;2;Stofzuiger;Siemens-Schuckert;Protos;Green;;Unknown;1930;Pre-1950;Germany;This antique vacuum cleaner is a Siemens-Schuckert Protos boiler vacuum from the early 20th century. The object is made of green enameled iron with a wooden handle.;1-9-2;Unknown;Picture;Redelijk;;;
DDP-0113;Iron;1;9;3;Strijkijzer;Philips ;HA2751;Black;Silver;Unknown;1967;Mid-Century Modern;Netherlands;This specific vintage model is a prime example of Dutch industrial design from its period. Although Philips is now a global concern with production and design centers in various countries, the designs for such classic household appliances came directly from the Dutch design departments at the time.;1-9-3;Unknown;Picture;Goed;;;
DDP-0114;Vacuum cleaner;1;9;4;Stofzuiger;Siemens;Super 32;Orange;Silver;Unknown;1973;Late Modern;Germany;This specific model stands out due to its Space Age aesthetic, which was very popular at the time. The vertical design was an innovation to save space in smaller households.;1-9-4;Unknown;Picture;Redelijk;;;
DDP-0115;Iron;1;9;5;Strijkijzer;Continental;;Black;White;Unknown;1955;Mid-Century Modern;Netherlands;This is a vintage Continental electric iron, a collector's item with a distinctive retro design. The appliance features a metal soleplate and a black and white Bakelite housing.;1-9-5;Unknown;Picture;Goed;;;
DDP-0116;Iron;1;9;5;Strijkijzer;Inventum;253 Serie;Silver;Black;Unknown;1940;Pre-1950;Netherlands;The device has a heavy, chrome-plated or nickel-plated soleplate that retains heat well. The small black knob on the top (often with a scale from 1 to 5 or with plus/minus signs) is used for temperature control.;1-9-5;Unknown;Picture;Goed;;;
DDP-0117;Travel iron;1;9;6;Reisstrijkijzer;Novol;Holiday;Silver;Black;Unknown;1965;Mid-Century Modern;France;This object  is a vintage travel iron, a compact and foldable model that was popular in the 1960s and 70s. It is recognizable by the chrome-plated casing and the black Bakelite handle that folds flat for storage.;1-9-6;Unknown;Picture;Goed;;;
DDP-0118;Iron;1;9;6;Strijkijzer;Termozeta;Baby 124;Black;White;Unknown;1975;Late Modern;Italy;"This specific model was intended as a ""mignon"" (miniature) travel iron and is today a beloved object among collectors of Italian vintage design.";1-9-6;Unknown;Picture;Goed;;;
DDP-0119;Iron;1;9;6;Strijkijzer;Philips ;HD 1126;Black;Green;Unknown;1970;Late Modern;Netherlands;This model is a vintage iron that was produced by Philips, with advertisements dating back to the 1970s. It was promoted at the time as a lightweight aluminium iron.;1-9-6;Unknown;Picture;Goed;;;
DDP-0120;Iron;1;9;6;Strijkijzer;Philips ;HA 2751;Brown;Silver;Unknown;1957;Mid-Century Modern;Netherlands;This iconic dry iron is known for its typical 1950s and 60s design with a dark brown (bakelite) housing and a chrome-plated soleplate. In 2006, this model was even nominated for the longlist of the best Dutch design of the past hundred years.;1-9-6;Unknown;Picture;Goed;;;
DDP-0121;Iron with packaging;1;9;7;Strijkijzer met verpakking;General Electric;3 FD 161;Silver;Black;Unknown;1950;Mid-Century Modern;U.S.A.;The General Electric 3 FD 161 is a vintage electric iron from the 1950s. This specific model is known for its robust mid-century design and was a popular household appliance at the time.;1-9-7;Unknown;Picture;Goed;;;
DDP-0122;Vacuum cleaner with operating instructions and hose;1;9;7;Stofzuiger met gebruiksaanwijzing en slang;Miele;Deluxe S220;Yellow;Black;Unknown;1985;Late Modern;Germany;This vacuum cleaner in a striking yellow color is now considered a collector's item due to its unique retro design from the 70s/80s.The Deluxe S 220 is an iconic piece of industrial design that is representative of the reliability for which the brand is known.;1-9-7;Unknown;Picture;Redelijk;;;
DDP-0123;Vacuum cleaner mouth;1;9;8;Stofzuigermond;Siemens;Polymatic;Red;White;Unknown;1975;Late Modern;Germany;The design of the Siemens Polymatic (as shown in the photo) is a classic example of functional industrial design from the 1970s and 1980s. During this period, the emphasis at Siemens (part of the BSH Group) was on sustainability, modularity, and ease of use.;1-9-8;Unknown;Picture;Redelijk;;;
DDP-0124;Vacuum cleaner;1;10;1;Stofzuiger;Miele;Turbo Team;Crème;Black;Unknown;2015;Digital Era;Germany;The Miele Turbo Team is known for durability and strong suction power. It's equipped with a dust bag system, which is more hygienic when emptying than bagless models and typically features multiple suction settings and special attachments, such as a turbo brush for pet hair.;1-10-1;Unknown;Picture;Goed;;;
DDP-0125;Vacuum cleaner;1;10;2;Stofzuiger;Holland Electro (HE);Sniffy;Green;Crème;Unknown;1950;Mid-Century Modern;Netherlands;"The Sniffy was a small ""stick vacuum"" that was very popular in the Netherlands in the 1950s and 1960s. It was a handy model, ideal for stairs, furniture, and small apartments.";1-10-2;Unknown;Picture;Redelijk;;;
DDP-0126;Vacuum cleaner;1;10;3;Stofzuiger;Electrolux;Z245;Brown;Silver;Unknown;1979;Late Modern;Sweden;Unique to this model is that it can not only vacuum but also blow. This was often used for inflating air mattresses or quickly defrosting freezers. The vacuum cleaner has a power of approximately 750 Watts, which was considered very powerful at the time. Originally, this model came with a braided hose, an aluminum tube, and various brown nozzles, including an automatic combination nozzle for carpets and hard floors.;1-10-3;Unknown;Picture;Goed;;;
DDP-0127;Handheld vacuum cleaner with holder;1;10;4;Handstofzuiger met houder;Electrolux;Cleany ZB 216;Crème;Grey;Unknown;1980;Late Modern;Sweden;"the Electrolux Cleany is a cordless, rechargeable handheld vacuum cleaner that came with a matching wall mount. In the Netherlands and Belgium, this type of compact, cordless vacuum cleaner is commonly known as a ""kruimeldief"" (""crumb catcher""). The concept was originally popularized by the Black & Decker ""Dustbuster,"" which came onto the market in 1979.";1-10-4;Unknown;Picture;Redelijk;;;
DDP-0128;Handheld vacuum cleaner;1;10;4;Handstofzuiger;AFK;AK-2.2;Crème;Green;Unknown;2000;Digital Era;Germany;The design of the AFK AK-2.2 is characteristic of the functional and affordable consumer electronics from the transitional period between the 1990s and 2000s. A key design featureis its streamlined, teardrop-shaped design. The wide suction nozzle flows smoothly into a narrow handle.;1-10-4;Unknown;Picture;Goed;;;
DDP-0129;Iron;1;10;5;Strijkijzer;Philips ;HD 1124;Orange;Silver;Knut Yran;1973;Late Modern;Netherlands;This iconic Philips iron, the HD1124, is a prime example of Dutch industrial design from the post-war reconstruction period and the subsequent decades. The design originates from the Philips Corporate Industrial Design Centre (CIDC) in Eindhoven. During that period, this department was led by the renowned Norwegian designer Knut Yran.;1-10-5;Unknown;Picture;Redelijk;;;
DDP-0130;Iron;1;10;6;Strijkijzer;Rowenta;E5762S;Brown;White;Unknown;1965;Mid-Century Modern;Germany;This specific model dates from the 1960s or early 1970s. The design with a Bakelite handle and chrome housing is typical of that period. Rowenta's design department at the time was influenced by streamline aesthetics and the functional German design school.;1-10-6;Unknown;Picture;Redelijk;;;
DDP-0131;Iron;1;10;6;Strijkijzer;Philips ;HD 1115 Y;White;Silver;Knut Yran;1975;Late Modern;Netherlands;"This design reflects the transition from heavy, metal irons to lighter models with plastic (bakelite) handles and a focus on ergonomics and ease of use. The ""y"" in the model number often referred to a specific regional version or a minor revision in the production process (such as indicator light colour or the wiring), while the basic functionality remained the same as the standard HD 1115. ";1-10-6;Unknown;Picture;Slecht;;;
DDP-0132;Iron;1;10;6;Strijkijzer;Philips ;HA 2752;Black;Silver;Unknown;1975;Late Modern;Netherlands;"The HD 2752 series was primarily in production during the late 1970s and the 1980s. It is a classic example of the ""heavy"" dry irons that were the standard in European households at the time. Philips household appliances from this era were often developed by the in-house design team in Eindhoven.";1-10-6;Unknown;Picture;Redelijk;;;
DDP-0133;Iron;1;10;6;Strijkijzer;Philips ;HD 1206;Black;White;Unknown;1967;Mid-Century Modern;Netherlands;"The model is part of the ""Millionaire"" or ""Popular"" series, known for its heavy-duty build, featuring a polished chrome or stainless steel soleplate and a high-impact black plastic handle. During this era, Philips' domestic appliances were heavily influenced by their internal Corporate Industrial Design (CID) group, which prioritized Sense and Simplicity.";1-10-6;Unknown;Picture;Redelijk;;;
DDP-0134;Vacuum cleaner;1;10;7;Stofzuiger;Excelsior;8170;Yellow;White;Unknown;1976;Late Modern;Netherlands;The Excelsior 8170 (also known as Signaal) is an iconic vintage vacuum cleaner that was produced around 1976. This specific model is known for its striking vertical design and the typical mustard yellow color that was very popular for household appliances at the time. The device was often supplied with various attachments, including a flexible hose that connects at the top.;1-10-7;Unknown;Picture;Redelijk;;;
DDP-0135;Vacuum cleaner;1;10;8;Stofzuiger;Miele;Deluxe S200;Turqoise;Crème;Unknown;1974;Late Modern;Germany;" This an ""all-in-one"" device was a unique concept that could stand upright while the hose remained connected. For its time, the suction power (often around 700-1000 Watts) was very high. This blue and white color combination pictured is the most iconic version of the ""De Luxe"" model.";1-10-8;Unknown;Picture;Goed;;;
DDP-0136;Various vacuum cleaner nozzles;1;10;8;Verscheidende stofzuigermonden;Unknown;Various;Multi;;Unknown;;;;"These objects can serve as excellent subjects for practicing several foundational drawing skills, including: geometric shape analysis; perspective and ellipses;
material and texture rendering.";1-10-8;Unknown;Picture;Goed;;;
DDP-0137;Sled vacuum cleaner;1;11;1;Sledestofzuiger;F.A.M. Skyline;AS5;Green;Crème;Unknown;1962;Mid-Century Modern;Netherlands;"This FAM canister vacuum cleaner is a rare and characteristic example of post-war European industrial design. The design is a direct result of ""Space Age"" influences, in which household appliances were designed to resemble products like rockets or jet engines.";1-11-1;Unknown;Picture;Redelijk;;;
DDP-0138;Sewer cleaning machine;1;11;2;Rioolreinigingsmachine;Ruton;RO 3603;Red;Crème;Unknown;1965;Mid-Century Modern;Netherlands;Ruton products from the 'RO' line are known for their distinctive red and white color scheme. In the 1960s and 70s, Ruton was a market leader in the Netherlands for appliances such as vacuum cleaners and specialized cleaning machines before the brand name was fully absorbed by Philips.;1-11-2;Unknown;Picture;Slecht;;;
DDP-0139;Canister vacuum cleaner with rod;1;11;3;Sledestofzuiger met stang;Holland Electro (HE);A4;Green;Turqoise;Raymond Loewy;1953;Mid-Century Modern;Netherlands;"This specific model is known as the Holland Electro ""Colibri"". The design was revolutionary because the vacuum cleaner could stand upright, which saved a great deal of storage space at the time in the typically small post-war Dutch homes. Due to its color (hammered green) and design, it is now a highly sought-after collector's item that is even included in museum collections.";1-11-3;Unknown;Picture;Redelijk;;;
DDP-0140;Steam iron;1;11;4;Stoomstrijkijzer;Tefal;Turbo Pro (serie 300);Green;White;Unknown;2004;Digital Era;France;The design of the Tefal Turbo Pro 300 is representative of the functional, ergonomic style of the French manufacturer from the early 2000s. It is a steam iron that was positioned at the time as a powerful and user-friendly model for domestic use.;1-11-4;Unknown;Picture;Goed;;;
DDP-0141;Iron;1;11;5;Strijkijzer;General Electric;Classic Serie H3F76F;Turqoise;Black;Unknown;1965;Mid-Century Modern;U.S.A.;This model is a milestone in American industrial design. The design is closely linked to the influence of the famous industrial designer Brooks Stevens. Stevens designed similar groundbreaking irons for GE and other brands in the 1940s (such as the 'Steam-O-Matic'), which laid the foundation for the 'Classic' aesthetic.;1-11-5;Unknown;Picture;Goed;;;
DDP-0142;Iron;1;11;5;Strijkijzer;General Electric;Perm Press H3F54F;Turqoise;Black;Unknown;1975;Late Modern;U.S.A.;"This model was designed as a ""Dry Iron,"" specifically optimized for Permanent Press fabrics that were new to the market at the time. The blue dial on the front has specific settings for synthetic fabrics such as acrylic and nylon. Characteristic is the braided fabric cord with the blue plug, which was typical of GE appliances from that period.";1-11-5;Unknown;Picture;Goed;;;
DDP-0143;Steam iron;1;11;6;Stoomstrijkijzer;Philips ;Azure 60;White;Turqoise;Stefano Marzano;1994;Postmodern;Netherlands;The Azur line was groundbreaking at the time due to the introduction of the 'Drip Stop' system and the ergonomic handle with the characteristic ridges for extra grip. The series won multiple design awards during the 1990s, including the prestigious iF Design Award, for the combination of functional ease of use and a streamlined appearance.;1-11-6;Unknown;Picture;Goed;;;
DDP-0144;Steam iron;1;11;6;Stoomstrijkijzer;Philips ;HD 1208;Brown;Crème;Unknown;1975;Late Modern;Netherlands;This model was one of the first steam irons to fully automate the process via the 'Steam Control System', reducing the need for manual adjustment by the user. It is now known as an icon of Dutch industrial heritage from that era.;1-11-6;Unknown;Picture;Redelijk;;;
DDP-0145;Vacuum cleaner;1;11;7;Stofzuiger;Excelsior;Mignon Type 600;Orange;Crème;Unknown;1965;Mid-Century Modern;Netherlands;The Type 600z was praised for its handy size and was often sold as the 'ideal helper' for stairs, cars, or small apartments. Today, it is a beloved collector's item for lovers of retro interiors.;1-11-7;Unknown;Picture;Redelijk;;;
DDP-0146;Vacuum cleaner;1;11;8;Stofzuiger;Electrolux;Model Z25;Red;Silver;Lurelle Guild;1937;Pre-1950;U.S.A.;"This was one of the first canister vacuum cleaners with the characteristic ""sled runners"" instead of wheels, allowing it to glide easily over carpets. The design is a prime example of the Streamline Moderne style (a later phase of Art Deco), characterized by aerodynamic forms that exuded speed and modernity.";1-11-8;Unknown;Picture;Redelijk;;;
DDP-0147;Steam iron;1;12;1;Stoomstrijkijzer;Moulinex;Chrono JET;Blue;White;Unknown;1995;Postmodern;France;"A typical ""aerodynamic"" 90s design with flowing, organic lines that suggest speed and efficiency. The semi-open handle creates a visual lightness and provides space for thumb operation of the steam buttons. The back is designed to be wide and flat for a stable vertical resting position (heel rest).";1-12-1;Unknown;Picture;Goed;;;
DDP-0148;Iron;1;12;1;Strijkijzer;Jura;JN1 (Type 340);Black;Silver;Unknown;1955;Mid-Century Modern;Switserland;The JN1 model was a luxury item at the time, partly due to the precise temperature control required for the then-new synthetic fabrics such as Perlon.;1-12-1;Unknown;Picture;Goed;;;
DDP-0149;Steam iron with box;1;12;1;Stoomstrijkijzer met doos;Philips ;Comfort 200;White;Grey;Unknown;1994;Postmodern;Netherlands;This appliance is a Philips Comfort 200 (model HD 1492), a classic dry iron with a spray function. The  series, including the 200, 300, and 400 models, was primarily on the market in the 1990s (circa 1992–1998).;1-12-1;Unknown;Picture;Slecht;;;
DDP-0150;Vacuum cleaner;1;12;2;Stofzuiger;Siemens-Schuckert;Rapid VSt 93;Red;Silver;Unknown;1950;Mid-Century Modern;Germany;"This is an 'all-purpose' handheld vacuum cleaner. The unique feature of this model was its versatility; by connecting the hose at the top instead of the side, the device transformed from a vacuum into a powerful blower.";1-12-2;Unknown;Picture;Redelijk;;;
DDP-0151;Iron;1;12;3;Strijkijzer;Calor;No. 15-03;Orange;Black;Unknown;1970;Late Modern;France;This iron was intended as a functional and affordable 'dry' iron (without steam) for domestic use. Today, it is considered a design classic and is popular in the vintage community, not only as decoration but also for specific uses such as waxing skis due to its constant temperature.;1-12-3;Unknown;Picture;Redelijk;;;
DDP-0152;Iron;1;12;3;Strijkijzer;Philips ;HD 1146;Brown;Crème;Unknown;1975;Late Modern;Netherlands;The HD 1146 was one of the first models to focus on an ultra-light weight, which was a major selling point for ease of ironing at the time. The housing is made of heat-resistant plastic (often Bakelite or early thermoplastics) with a polished metal soleplate. The design falls under the Modernism of the 1970s, in which functionality and a sleek, geometric design were central.;1-12-3;Unknown;Picture;Goed;;;
DDP-0153;Steam iron;1;12;3;Stoomstrijkijzer;Tefal;Pressing Plus 1;Orange;Crème;Unknown;1975;Late Modern;France;The Pressing Plus 1 model was sometimes also sold under the brand name Calor. It features a distinctive retro design with a bright orange casing and a chrome soleplate.;1-12-3;Unknown;Picture;Goed;;;
DDP-0154;Steam iron;1;12;4;Stoomstrijkijzer;Philips ;GC 1705;Black;White;Unknown;2000;Digital Era;Netherlands;Under the leadership of then-chief designer Stefano Marzano, the focus during this period shifted towards 'High Design', where appliances not only had to be technically sound but also comfortable to hold and visually fit into a modern household. The GC1705 was the answer to the demand for a compact, lightweight, and affordable iron that was still powerful enough for daily use.;1-12-4;Unknown;Picture;Redelijk;;;
DDP-0155;Steam iron;1;12;5;Stoomstrijkijzer;Tefal;Super Gliss 30S (Longlife Compact);White;Yellow;Unknown;1984;Late Modern;France;The design reflects the transition from the angular 70s to the more rounded, ergonomic shapes of the 80s. The iron is equipped with an early version of the Supergliss sole, which was revolutionary at the time due to its smooth gliding ability on various fabrics. It was designed for easy storage, with a notch at the back to neatly wrap the cord around.;1-12-5;Unknown;Picture;Goed;;;
DDP-0156;Steam iron;1;12;6;Stoomstrijkijzer;Braun;PV-4;White;Crème;Peter Schneider;1988;Late Modern;Germany;This model was introduced in the late 80s when the Braun design team was led by the legendary Dieter Rams. The direct design of the irons is often attributed to his successor Peter Schneider and his team. It follows the philosophy of 'less, but better'. The appliance is a prime example of modernism. Characteristic features include the ergonomic handle, the subdued color scheme (off-white with subtle color accents for the knobs), and the iconic black and white checkered textile cord.;1-12-6;Unknown;Picture;Redelijk;;;
DDP-0157;Steam iron;1;12;6;Stoomstrijkijzer;Rowenta;DA-49 Steam Spray Dry;Crème;Black;Hans-Erich Slany;1983;Late Modern;West Germany;"The iron in the image is a vintage steam iron from the brand Rowenta, specifically the model DA49. This specific model was produced in West Germany. It is known as a ""steam spray dry"" electric iron, which means that it can be used both with and without steam and has a spray function.";1-12-6;Unknown;Picture;Redelijk;;;
DDP-0158;Steam iron;1;12;6;Stoomstrijkijzer;Rowenta;DA-23;White;Black;Unknown;1988;Late Modern;West Germany;This vintage steam iron is suitable for both dry ironing and steam ironing and features an adjustable thermostat and a spray function. It is recognizable by the white housing with a transparent grey/black water reservoir and the distinctive red indicator light on the side.;1-12-6;Unknown;Picture;Goed;;;
DDP-0159;Iron;1;12;6;Strijkijzer;Black & Decker;F365S Light 'n Easy;Grey;Crème;Unknown;1984;Late Modern;U.S.A.;The design reflects the functional, angular aesthetic of the 1980s with a focus on lightweight use ('Light 'n Easy'). For its time, the SilverStone coating was innovative as an early form of non-stick coating that made ironing synthetic fabrics easier.;1-12-6;Unknown;Picture;Goed;;;
DDP-0160;Vacuum cleaner;1;12;7;Stofzuiger;Volta;U203;Orange;Brown;Unknown;1974;Late Modern;Sweden;The Volta U203 (also sold under brand names such as Electrolux and Elektro Helios) was revolutionary because it was one of the first vacuum cleaners with a fully injection-molded plastic housing. The bright orange housing replaced traditional metal constructions, making the machine lighter and cheaper to produce. Despite its compact size, the unit features an internal cable reel and a mechanical dust indicator. Due to its bold use of color and sleek design, this model is now included in the collections of various design museums, including the Swedish Tekniska Museet.;1-12-7;Unknown;Picture;Redelijk;;;
DDP-0161;Vacuum cleaner;1;12;8;Stofzuiger;Holland Electro (HE);4400;Grey;Crème;Unknown;1980;Late Modern;Netherlands;The 4400 distinguished itself by its vertical 'sleete' design with the characteristic perforated round holes in the housing for the air outlet. It was a powerful model for its time, often equipped with electronic suction power control and indicator lights for the dust bag and filters.;1-12-8;Unknown;Picture;Redelijk;;;
DDP-0162;Sled vacuum cleaner;1;13;2;Sledestofzuiger;Ruton;R6;Blue;Silver;Unknown;1950;Mid-Century Modern;Netherlands;"This vacuum could both vacuum and blow, which was an advanced feature at the time for cleaning radiators, for example. The R6 is a classic example of a 'torpedo-model' canister vacuum cleaner, two metal 'sleds' (skis) to glide easily over the carpet. This type of design was very popular in the 1950s due to its futuristic, streamlined appearance.
";1-13-2;Unknown;Picture;Redelijk;;;
DDP-0163;Iron packaging;1;13;1;Strijkijzer verpakking;Philips ;Azur Excel Plus;White;Blue;Unknown;2002;Digital Era;Netherlands;The packaging in the photo is a classic example of industrial graphic design from this period: The box employs a strict grid, with a mix of horizontal and vertical text placement, giving the packaging a dynamic appearance. Ample white space is combined with the accent color blue (matching the product) and a gold accent for the 'premium' features. The product is depicted in a three-quarter perspective with slight motion blur in the background to suggest action.;1-13-1;Unknown;Picture;Redelijk;;;
DDP-0164;Dry iron;1;13;3;Droogstrijkijzer;Moulinex;BX1;White;Silver;Unknown;1995;Postmodern;France;This specific model dates back to the 1990s (circa 1992-1998). It was the successor to the more angular models from the 1970s and 1980s.In the world of small household appliances, successful designs were often produced under license or purchased from the same manufacturer by various brands. That is why you still see the exact same design today from brands like Severin.;1-13-3;Unknown;Picture;Redelijk;;;
DDP-0165;Sled vacuum cleaner;1;13;4;Sledestofzuiger;Erres;ZSZ 175;Blue;Black;Otto van Tussenbroek;1951;Mid-Century Modern;Netherlands;This model is known for its 'torpedo' design, which is characteristic of the optimism about progress of that era. It is a typical example of streamline design, a style that began in the 1930s and remained popular for household appliances after the war. Due to its unique design, this model is a beloved collector's item and has even been exhibited in museums such as the Kunsthal Rotterdam.;1-13-4;Unknown;Picture;Slecht;;;
DDP-0166;Iron packaging;1;13;5;Strijkijzer verpakking;Moulinex;Chrono JET;White;Red;Unknown;1990;Postmodern;France;"The packaging features the brand name in both the Latin alphabet and Arabic script (""مولينكس""). The design with the pink/red color blocks and the prominent product photo is typical of Moulinex's retail style from that era, focused on ease of use and efficiency.";1-13-5;Unknown;Picture;Redelijk;;;
DDP-0167;Steam iron;1;13;5;Stoomstrijkijzer;Rowenta;Vapopress DA-12;White;Black;Unknown;1976;Late Modern;West Germany;The appliance offers options for both dry ironing and steam ironing, including a spray function and a second steam program. It features a prominent rotary knob for the thermostat and a visible water reservoir. The colored buttons on the front are for the steam and spray functions.;1-13-5;Unknown;Picture;Goed;;;
DDP-0168;Steam iron;1;13;5;Stoomstrijkijzer;Tefal;Ultragliss Profil 80 Automatic;White;Blue;Unknown;1998;Postmodern;France;The Tefal Ultragliss Profil 80 Automatic is a classic steam iron known for its smooth glide and convenient vertical steam function. This function allows you to remove wrinkles fro hanging clothes or curtains by holding the iron vertically and pressing the steam button at intervals.;1-13-5;Unknown;Picture;Goed;;;
DDP-0169;XPS Foam Shape Study;1;13;6;XPS Foam Vormstudie;Unknown;Strijkijzer;Crème;Blue;Unknown;;;Netherlands;Tangible model of an iron, for testing the ergonomics (grip) and the visual balance of the housing.;1-13-6;Unknown;Picture;Goed;;;
DDP-0170;Vacuum cleaner;1;13;7;Stofzuiger;Miele;Electronic S224;Orange;Black;Unknown;1980;Late Modern;West Germany;The Miele Electronic S224 features electronic suction power control, a foot pedal for automatic cord rewind, and an indicator that shows when the dust bag is full. This model is beloved by collectors for its distinctive retro orange color and the motor that was very powerful for its time. It was the successor to the S 204 and marked a transition to a more compact and colorful design, with the orange color being typical of the design trends of the late 1970s and early 1980s.;1-13-7;Unknown;Picture;Goed;;;
DDP-0171;Handheld vacuum cleaner with holder;1;13;8;Handstofzuiger met houder;AEG;Rapido AG5106S;Crème;Orange;Unknown;2014;Digital Era;Germany;The AEG Rapido AG5106S is a cordless handheld vacuum from the Rapido series, known for its cyclonic airflow and distinctive wheels. This model features the Easy Reach™ nozzle: an integrated, extendable crevice tool so you can easily reach tricky corners without separate attachments.;1-13-8;Unknown;Picture;Goed;;;
